http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L478	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Gonzales-Varo et al (2016)	10	Andrenidae	Flavipanurgus venustus	19	null	null	19														0.3															97.6																0.3																																																							1.0																				0.7
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L479	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Gotlieb, A. et al. (2014)	11	Megachilidae	Haetosmia circumventa	54	null	null	54																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L480	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. & Griswold, T. (2017)	31	Megachilidae	Haetosmia ethiopiensis	8	null	Obs.	10																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L481	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Gotlieb, A. et al. (2014)	11	Megachilidae	Haetosmia vechti	11	null	null	11																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L482	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus confusus	26	null	null	26		1.1				2.2	1.3							8.6						3.0	12.6					4.3																11.8			13.5									3.4					4.3								0.2																																	20.8			12.9																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L483	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus crenicornis	11	null	null	11							2.8							11.2						15.6	8.2			5.1		8.7	4.1		4.3				8.6												9.6									11.6																																														10.1																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L484	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus ligatus	34	null	null	34														97.3												1.7									0.2																																																																	0.4					0.4															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L485	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus maculatus	13	null	null	13														50.9													7.6		17.1				0.7				6.7																						0.6																																									16.4																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L486	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus pollinosus	10	null	null	10							15.6							24.0												37.3							10.6				12.5																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L487	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus quadricinctus	25	null	null	25														81.3							2.9					10.4			4.5																																																																				0.6																							0.3
