http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L222	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium cingulatum	50	null	null	50														15.9						2.8	0.3			0.4																					46.5														14.4																													18.0												0.5																				1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L223	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium dalmaticum	24	null	null	24																																													7.1														81.2																													9.4																																2.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L224	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium diadema	39	null	null	39														95.0						1.7																									3.3																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L225	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium echinatum	17	null	null	17																				14.7	7.4																																																																													35.8				19.5																	13.7	8.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L226	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium florentinum	45	null	null	45							2.9							3.7						4.6																	1.0								4.3														16.5			0.1			5.6																							1.1												58.9																				1.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L227	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium loti	42	null	null	42																																													76.3														9.9																													12.1																																1.7
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L228	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium luctuosum	10	null	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L229	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium manicatum	54	null	null	54														2.1						1.2																									43.6														36.2						0.2																							16.7																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L230	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium montanum	35	null	null	35																																													99.6																																																														0.4													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L231	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium oblongatum	55	null	null	55																								14.9													11.7								48.5														0.1			2.2																																				20.7		0.8							1.1													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L232	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium punctatum	47	null	null	47														0.7							0.2			2.7					1.4								2.0								85.5														0.4																																							7.0									0.1													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L233	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium septemspinosum	35	null	null	35														1.2																							2.5								26.0														39.9						3.9																							7.9												17.7																				0.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L234	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium spiniventre	23	null	null	23														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L235	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium taeniatum	40	null	null	40							1.4							0.1						1.3	0.1																								72.2														9.1																													14.2																																1.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L236	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium tesselatum	19	null	null	19														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L237	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium undulatum	27	null	null	27																				4.9																									80.7														4.6																																									0.1							6.3													3.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L238	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium waltlii	17	null	null	17														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L239	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Anthidium wüstneii	13	null	null	13														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L240	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1995)	37	Apidae	Anthophora (Anthophora)  plumipes	20	null	null	20																				39.3	1.0								0.5																0.5														25.4																								7.9											14.3																						3.2				7.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L241	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996b)	39	Apidae	Anthophora (Clisodon) furcata	24	null	null	24																																																											81.6																													16.5																				1.9												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L242	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996b)	39	Apidae	Anthophora (Dasymegilla) quadrimaculata	15	null	null	15																				23.7									5.1																42.4														28.8																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L243	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Anthophora aestivalis	11	null	null	11																				5.3	3.9								32.8																50.8														1.8																																						5.4																							
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L244	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Anthophora atroalba	22			22												1.1		1.6						33.9	14.3								20.4				1.9												9.1														16.8																								0.3																																					0.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L245	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Anthophora bimaculata	11	null	null	11														78.5						5.9				3.9																																																																11.7																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L246	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Kuhlmann and Eardley (2011)	17	Apidae	Anthophora diversipes	20	null	null	20			7.0									9.0		1.0							3.0																																		6.0												7.0																																								1.0											38.0	1.0	27.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L247	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Schlindwein and Wittmann (1995)	74	Andrenidae	Arhysosage cactorum	10	null	null	10																						100.0																																																																																																		
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L248	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Augochlora pura	17	null	null	17		4.8				9.5								12.8							8.9						15.0															7.6																	0.2						22.9																																		7.6	6.7			1.2											2.9						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L249	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Augochlorella aurata	28	null	null	28						2.2								24.4			4.2				18.3						3.7						8.9									0.1																	5.2						3.1																							3.7												3.0			16.1			4.5		2.5												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L250	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Augochloropsis viridula (=metallica fulgida sensu Mitchell)	12	null	null	12		1.3				8.1								8.4							10.8														10.9										40.0																																																						1.6	5.7								13.2												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L251	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Siriani-Oliveira et al (2019)	81	Colletidae	Bicolletes indigoticus	10	null	null	10																																																																100.0																																																								
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L252	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Schlindwein and Wittmann (1997)	75	Colletidae	Bicolletes pampeana	10	null	null	10																																																																100.0																																																								
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L253	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus affinis	46	null	null	46							9.7							28.9	0.1					5.7	1.4					8.0									0.7							1.5			13.5									5.4					1.7						1.4		2.9																																	4.5			0.1					14.5												0.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L254	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus alagesianus	29	null	null	29														5.0							7.1			35.8																					47.9				1.2										3.0																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L255	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus alpinus	24			24														0.1										23.9					2.1								1.4					5.4			32.4														1.4																					2.6	17.0							4.3												1.8						7.6														
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L256	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus argillaceus	160			160	0.2			0.3										15.4						10.7						0.3			0.7																51.2									2.5					15.4																						1.4		0.6					1.3																																0.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L257	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus armeniacus	57	null	null	57	1.0						1.5							12.4						9.4							0.6																		66.5														3.5																						3.1							2.0																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L258	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus auricomus	52	null	null	52						7.6								16.0																											0.4				54.6									0.2					18.7																																									2.2								0.4												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L259	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus balteatus	18	null	null	18														1.5													2.0															2.0			58.9														0.6																					3.7	20.0																			4.6			6.6																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L260	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus bimaculatus	78	null	null	78		1.1				5.1	0.0							0.2						2.8	2.9					1.5					0.9											13.6			40.4	0.1				0.1				2.4					1.8								0.8														2.4									0.4									3.4	13.4			3.6		0.7			2.1												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L261	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus bisiculus	62	null	null	62														0.8										1.0					0.7																73.0				0.1										7.4								0.5																																	16.5																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L262	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus borealis	37	null	null	37														19.7	3.3						0.6					0.8									2.8							0.6			57.3									4.7					3.4								0.1													1.2																			0.6	4.9																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L263	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus brodmannicus	30	null	null	30																				36.9				24.7		1.0																		0.3	15.7														17.4																						3.3							0.8																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L264	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus confusus	53			53														7.7										0.1					0.2																52.1							1.4		8.8					29.2																						0.5																			0.1																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L265	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus cullumanus	20			20							3.9							45.2						1.4				13.2		3.7	0.3																		27.3														0.4																													1.6	2.4											0.5																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L266	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus distinguendus	53			53														1.7						8.8																						0.2			80.6							1.6							1.1						2.0																3.3							0.3									0.2			0.2																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L267	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus fervidus	66			66							1.9							3.6	1.9						0.2																					6.4			63.8									7.4					5.1																													1.1									0.3			0.8								7.6												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L268	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus fragrans	30	null	null	30														41.1						24.2									0.9																22.9														6.9																													4.0																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L269	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus frigidus	19	null	null	19														1.4										1.5		0.1	4.9															36.9			40.6																																			1.6	6.0																			7.0																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L270	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus griseocollis	86	null	null	86		1.3				8.0	2.6							6.8						1.2	2.2					0.6									0.2							1.9			49.6									5.2					2.2						0.1		0.4																									0.8	0.9				0.5		2.1	9.7			0.4					3.1						0.3						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L271	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus haematurus	15	null	null	15																				24.3													1.6									21.4			1.9									2.3					41.7																																									5.7																				1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L272	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus handlirschianus	41	null	null	41														2.0						0.1																									68.8														28.8																																																													0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L273	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus hortorum	103	null	null	103														0.3	2.5					5.6	0.6					3.6	0.2		1.0																37.1														14.7																						13.6		0.4					12.1									2.2			3.8							2.3													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L274	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus humilis	71	null	null	71														0.1						0.1				0.6											0.1							23.0			57.1										0.8				3.3						0.7																2.9		0.1					4.4												2.9							3.4	0.6												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L275	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus hypnorum	39	null	null	39							3.4							0.6						4.7				1.4		0.7									0.3							11.4			3.4							3.0		9.4					3.4						3.4		5.2													0.3																	8.1			36.2					0.1			5.0												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L276	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019) + Wood et al. (2021)	96; 98	Apidae	Bombus impatiens	152	null	null	152						3.4	2.7							30.8						0.6	0.6					0.6							0.7		0.7			0.9				2.4			17.8					0.1				1.1					2.1						0.9															0.1								7.6		0.7		0.7	0.5				0.7		0.8	9.5			1.8					12.1												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L277	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus incertus	57	null	null	57							1.2							27.5						15.9				4.8		0.2											0.0								21.7														20.3																													3.5	0.2								0.4			3.7								0.6												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L278	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus lapidarius	142	null	null	142														8.6		0.6				0.3	5.1			1.0					0.8													2.0			67.7									1.4					2.0			0.2			1.4		0.2														0.9		1.2					0.6									0.6			3.8			0.3				0.9	0.3								0.1				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L279	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus lapponicus	50	null	null	50														2.1												0.1																36.6			45.7														2.1																					2.6	10.1																			0.7																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L280	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus lucorum	19	null	null	19							31.4							5.1						14.3	1.0								15.9													0.4			10.7																						0.1														9.3							10.3									0.2			1.4																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L281	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus melanurus	23	null	null	23														25.6						1.5									0.5																36.4														28.5																						4.6							3.0																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L282	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus mendax	54			54														2.0										1.1			0.1		0.1													2.0		0.7	69.2			1.1											7.9																						8.3																6.9																							0.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L283	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus mesomelas	109			109														4.1						4.6	0.4			0.2					0.7								0.3					1.2			70.9				0.1					1.4					3.5																						11.5							0.6												0.0								0.5												0.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L284	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus monticola	41			41														0.7										8.1													7.3					15.0			59.5														0.1																					1.2	3.8																		2.0	0.4			1.8																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L285	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus mucidus	33			33														3.3															1.9													1.2			90.9			2.4						0.3					0.1																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L286	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus muscorum	53	null	null	53														1.3						16.8						0.6																13.2			56.6														1.1																				0.2		3.2							2.2																				4.9												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L287	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus niveatus	67	null	null	67							0.8							3.9						12.3																									79.8														1.6																													0.8	0.6											0.2																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L288	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus pascuorum	162			162		0.6												0.9	1.6		0.1			7.6	0.9					0.6	0.5		0.9													0.8			52.7							0.2		0.7					9.3			0.6			2.3															0.6	3.9		0.1					1.2									0.1		0.3	8.5					0.1		3.2	1.7												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L289	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019)	96	Apidae	Bombus pensylvanicus	41	null	null	41							1.2							21.0												0.1																			65.0									9.2					1.8								0.0													0.2																				0.4								1.1												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L290	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2019) + Wood et al. (2021)	96; 98	Apidae	Bombus perplexus	59	null	null	59						6.2								3.5						0.3						7.1																15.7			9.4					2.1				6.2					0.0						1.5		0.1													2.1																				27.2			3.1					12.0						2.1						1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L291	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus pomorum	144	null	null	144				1.4										7.0						8.8				0.0		0.3	0.2		0.3																65.2			0.9						1.6					6.8																						5.5							0.1						0.2			1.1			0.1							0.6													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L292	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus portschinskyi	25	null	null	25														2.5						0.1																									38.0														30.4																						25.3							1.3									1.8																							0.7
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L293	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus pratorum	98	null	null	98														0.9	2.1					12.7	1.7			1.5		2.4	0.5		1.0													5.4			15.4					1.8			0.5						10.8			0.6			3.1		0.5													0.7	3.2		2.5					3.5											0.5	20.5			2.5		0.9		3.9	1.1												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L294	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus pyrenaeus	44	null	null	44				1.7			10.1							0.9						1.4				38.4		0.1			0.4													19.4						6.4						0.0					2.4																						13.4							1.7												3.3																				0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L295	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus ruderarius	96	null	null	96														1.6						10.1				0.7			0.1		0.2				0.1				0.8					1.4			68.2					0.2				1.2					7.2								0.0													0.1	4.2							0.8												1.9								0.3								0.1				0.8
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L296	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus ruderatus	36	null	null	36														4.3						28.4						0.3	0.2		2.0																48.4									2.5					1.1																								1.4						0.3								9.1		1.6									0.3												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L297	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus rufocinctus	39	null	null	39														2.0	2.4					0.9	11.2			9.8											2.5							3.1			48.4	2.1								4.4																																											0.3			5.4	1.9		1.0					4.6												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L298	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus sichelii	84	null	null	84				3.3										2.2						0.1	1.2			8.1			0.0		0.2													5.3			68.7									0.5					3.8																						4.8							0.2												1.4							0.1													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L299	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus soroeensis	104	null	null	104				1.0			0.0							9.7						10.9				36.3		0.8			2.3													6.5			2.8				0.3					3.4					10.0								0.7													0.0	0.4							2.0												12.9																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L300	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus sporadicus	12	null	null	12																																										52.7			4.6																																			27.1	2.7							10.7												2.3																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L301	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus subterraneus	154	null	null	154														6.8						3.3				0.3					1.9																45.5														28.2																						13.0							0.3												0.6																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L302	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et. al. (2021a)	98	Apidae	Bombus sylvarum	112	null	null	112														17.9						13.0	0.3			0.1		0.3			1.3																41.2				0.1					1.2					4.8																						10.5							0.1									5.9			3.0								0.3												
